id,area,sitename,desc,link,lat,lng,ebird_hotspot_id,youtube_id,accessibility,photos
1,Kingston,Kingston Marina/Park,"Appletree Cove • Marine and mudflat habitats on quiet bay • American and Eurasian Wigeon, gulls • Public fishing pier, visitors dock, walkway viewing sites",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.79670297,-122.4993583,L5548250,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot on site | Wheelchair Access: Paved walkway along waterfront | Restrooms: Yes, year-round | Terrain: Flat paved paths and pier | Dogs Allowed: Yes, on leash",data/img/kingston-marina-1.jpg|data/img/kingston-marina-2.jpg|data/img/kingston-marina-3.jpg
12,Bainbridge,Ft. Ward State Park,"Rocky shore, marine and wooded habitats • Marine birds include Surf and White-winged Scoter, Western, Red-necked and Horned Grebe and Long-tailed Duck • Trails, beach access • Views across Rich Passage",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.59700000,-122.54200000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot at trailhead | Wheelchair Access: Limited — uneven rocky terrain | Restrooms: Vault toilet on site | Terrain: Rocky shoreline and forested trail | Dogs Allowed: Yes, on leash",data/img/ft-ward-bainbridge-1.jpg|data/img/ft-ward-bainbridge-2.jpg|data/img/ft-ward-bainbridge-3.jpg
13,Silverdale,Island Lake County Park,"Aquatic, riparian and wooded habitats • Walks and trails • Ring-necked Ducks and Hooded Mergansers in winter",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.65900000,-122.71200000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot on site | Wheelchair Access: PLACEHOLDER | Restrooms: Yes, seasonal | Terrain: Flat loop trail around lake | Dogs Allowed: Yes, on leash",data/img/island-lake-1.jpg|data/img/island-lake-2.jpg|data/img/island-lake-3.jpg
14,Silverdale,Silverdale Waterfront County Park,"Pebble beach and open bay marine habitats • Panoramic view of Dyes Inlet • Best as a marine birding site in winter",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.65700000,-122.69100000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot adjacent to park | Wheelchair Access: Paved path to waterfront viewpoint | Restrooms: Yes, year-round | Terrain: Flat paved and pebble beach | Dogs Allowed: Yes, on leash",data/img/silverdale-waterfront-1.jpg|data/img/silverdale-waterfront-2.jpg|data/img/silverdale-waterfront-3.jpg
15,Silverdale,Old Mill County Park and Clear Creek Trail,"Pebble beach and open bay; marine, estuarine and riparian habitats • Contiguous with the Clear Creek Trail system • Limited parking at park, none along trails • Purple martin nest box site",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.64200000,-122.69500000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Very limited — small pullout only | Wheelchair Access: Partial — paved trail sections | Restrooms: None on site | Terrain: Paved trail along creek and shoreline | Dogs Allowed: Yes, on leash",data/img/old-mill-park-1.jpg|data/img/old-mill-park-2.jpg|data/img/old-mill-park-3.jpg
16,Bremerton,Lion's Field Park,"Rocky marine habitat along the narrows • Both Pelagic and Double-crested Cormorants, as well as Long-tailed Ducks in the winter",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.55300000,-122.66500000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Street parking only | Wheelchair Access: PLACEHOLDER | Restrooms: None on site | Terrain: Rocky shoreline, informal path | Dogs Allowed: Yes, on leash",data/img/lions-field-1.jpg|data/img/lions-field-2.jpg|data/img/lions-field-3.jpg
17,Bremerton,Lower Rota Vista Park,"North end of Elizabeth Ave. • Rocky marine habitat • Large Pelagic Cormorant roost and Peregrine Falcon nest under Warren Ave. Bridge • Walkway down bluff to viewing area • Limited parking, no facilities, no handicapped access",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.56500000,-122.63800000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Very limited — 2-3 spaces only | Wheelchair Access: No — steep walkway down bluff | Restrooms: None on site | Terrain: Steep bluff path to rocky shoreline | Dogs Allowed: Yes, on leash",data/img/rota-vista-1.jpg|data/img/rota-vista-2.jpg|data/img/rota-vista-3.jpg
18,Bremerton,Pt. Orchard Marina and Park,"Open bay marine habitat • Thousands of White-winged Scoters and American Wigeons in winter, as well as Western Grebes • Best viewing from park at east end of Marina",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.53100000,-122.63300000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot at marina | Wheelchair Access: Paved path along waterfront | Restrooms: Yes, near marina office | Terrain: Flat paved waterfront | Dogs Allowed: Yes, on leash",data/img/pt-orchard-marina-1.jpg|data/img/pt-orchard-marina-2.jpg|data/img/pt-orchard-marina-3.jpg
19,Belfair,Mary Theiler Wetlands,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.43200000,-122.83500000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/mary-theiler-1.jpg|data/img/mary-theiler-2.jpg|data/img/mary-theiler-3.jpg
20,Bellingham,Tennant Lake,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,48.77800000,-122.47900000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/tennant-lake-1.jpg|data/img/tennant-lake-2.jpg|data/img/tennant-lake-3.jpg
21,Chimacum,Swan Flock,"Across Hood Canal Bridge, SR-19, Beaver Valley Rd to Chimacum. Intersection closest to Chimacum Cafe, Left/North on W Valley Rd about 1 mile. In winter a small flock of swans can be found here. Flock is reportedly slowly growing each year.",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.98500000,-122.77200000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Roadside pullout only | Wheelchair Access: Viewing from vehicle recommended | Restrooms: None on site | Terrain: Agricultural field — view from road | Dogs Allowed: N/A — road viewing",data/img/swan-flock-1.jpg|data/img/swan-flock-2.jpg|data/img/swan-flock-3.jpg
24,Hood Canal,Shine Tidelands State Park,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.84600000,-122.61400000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/shine-tidelands-1.jpg|data/img/shine-tidelands-2.jpg|data/img/shine-tidelands-3.jpg
25,Port Townsend,Fort Ward,"Eagles, Snow Geese, Swans (December through March) • Fir Island Fish Wildlife Refuge Snow Geese area • Debay Slough Swan Preserve • Padilla Bay Reserve",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,48.08300000,-122.76300000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/fort-ward-pt-1.jpg|data/img/fort-ward-pt-2.jpg|data/img/fort-ward-pt-3.jpg
26,Poulsbo,Liberty Bay Park,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.73100000,-122.64900000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Street parking and small lot | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: Flat waterfront path | Dogs Allowed: Yes, on leash",data/img/liberty-bay-1.jpg|data/img/liberty-bay-2.jpg|data/img/liberty-bay-3.jpg
27,Seabeck,Big Beef Creek,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.63900000,-122.83200000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/big-beef-creek-1.jpg|data/img/big-beef-creek-2.jpg|data/img/big-beef-creek-3.jpg
28,Skagit Valley,Swan Preserve,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,48.39600000,-122.35800000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/swan-preserve-1.jpg|data/img/swan-preserve-2.jpg|data/img/swan-preserve-3.jpg
29,Washington Coast,Grays Harbor,PLACEHOLDER_DESCRIPTION,https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,46.97400000,-124.10600000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/grays-harbor-1.jpg|data/img/grays-harbor-2.jpg|data/img/grays-harbor-3.jpg
